Station ID,Station Name,Domain,Centre,State,Country,Mode,Address,Address Link,View Details
8683,PS-I Entrepreneurship track - BaseThesis Labs Pvt Ltd - Non Tech,Others,Bengaluru,Karnataka,India,Onsite,- Bangalore,https://www.google.com/maps/search/-+Bangalore,https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8683/114356
8682,PS-I Entrepreneurship track - BaseThesis Labs Pvt Ltd - Tech,Others,Bengaluru,Karnataka,India,Onsite,Bangalore -,https://www.google.com/maps/search/Bangalore+-,https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8682/114356
8869,PS-I Entrepreneurship track - Beijan - Non-Tech,CSIS/IT,Hyderabad,Telangana,India,Onsite,Hyderabad Telangana,https://www.google.com/maps/search/Hyderabad+Telangana,https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8869/114356
8854,PS-I Entrepreneurship track - Beijan - Tech,CSIS/IT,Hyderabad,Telangana,India,Onsite,Hyderabad Telangana,https://www.google.com/maps/search/Hyderabad+Telangana,https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8854/114356
8703,PS-I Entrepreneurship track - Capital Craft - Non Tech,Others,Jaipur,Rajasthan,India,Onsite,"Jaipur, rajasthan Jaipur, rajasthan","https://www.google.com/maps/search/Jaipur,+rajasthan+Jaipur,+rajasthan",https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8703/114356
8702,PS-I Entrepreneurship track - Capital Craft - Tech,Others,Jaipur,Rajasthan,India,Onsite,"Jaipur, rajasthan Jaipur, rajasthan","https://www.google.com/maps/search/Jaipur,+rajasthan+Jaipur,+rajasthan",https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8702/114356
8728,PS-I Entrepreneurship track - Carbon Crunch - Non Tech,CSIS/IT,Noida,Uttar Pradesh,India,Onsite,Noida 	 Noida,https://www.google.com/maps/search/Noida+	+Noida,https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8728/114356
8721,PS-I Entrepreneurship track - Carbon Crunch - Tech,CSIS/IT,Noida,Uttar Pradesh,India,Onsite,Noida 	 Noida,https://www.google.com/maps/search/Noida+	+Noida,https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8721/114356
8781,PS-I Entrepreneurship track - Cautio - Non Tech,Others,Belgaum,Karnataka,India,Onsite,"4th Floor, 5, 14th Main Rd, Sector 5, 1st Sector, HSR Layout Bengaluru, Karnataka 560102","https://www.google.com/maps/search/4th+Floor,+5,+14th+Main+Rd,+Sector+5,+1st+Sector,+HSR+Layout+Bengaluru,+Karnataka+560102",https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8781/114356
8780,PS-I Entrepreneurship track - Cautio - Tech,Others,Bengaluru,Karnataka,India,Onsite,"4th Floor, 5, 14th Main Rd, Sector 5, 1st Sector, HSR Layout,  Bengaluru, Karnataka 560102","https://www.google.com/maps/search/4th+Floor,+5,+14th+Main+Rd,+Sector+5,+1st+Sector,+HSR+Layout,++Bengaluru,+Karnataka+560102",https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8780/114356
8715,PS-I Entrepreneurship track - CognifyEV,CSIS/IT,Bengaluru,Karnataka,India,Onsite,Bangalore -,https://www.google.com/maps/search/Bangalore+-,https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8715/114356
8686,PS-I Entrepreneurship track - Creware Coworks,Others,Jaipur,Rajasthan,India,Onsite,"Jaipur 1: Plot No. 100, Creware Coworks, Vaishali Marg, Nemi Nagar Extension, Block A, Vaishali Nagar, Jaipur, Rajasthan 302021 Bengaluru: Building No.4, 2nd Floor, Himagiri Silicon City Layout, Thogur Cross, Electronic City Phase I, Electronic City, Bengaluru, Karnataka 560100","https://www.google.com/maps/search/Jaipur+1:+Plot+No.+100,+Creware+Coworks,+Vaishali+Marg,+Nemi+Nagar+Extension,+Block+A,+Vaishali+Nagar,+Jaipur,+Rajasthan+302021+Bengaluru:+Building+No.4,+2nd+Floor,+Himagiri+Silicon+City+Layout,+Thogur+Cross,+Electronic+City+Phase+I,+Electronic+City,+Bengaluru,+Karnataka+560100",https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8686/114356
8742,PS-I Entrepreneurship track - CuraCraft Designs - Non Tech,CSIS/IT,Chennai,Tamil Nadu,India,Onsite,Chennai Tamil Nadu,https://www.google.com/maps/search/Chennai+Tamil+Nadu,https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8742/114356
8741,PS-I Entrepreneurship track - CuraCraft Designs - Tech,CSIS/IT,Chennai,Tamil Nadu,India,Onsite,Chennai Tamil Nadu,https://www.google.com/maps/search/Chennai+Tamil+Nadu,https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8741/114356
8691,PS-I Entrepreneurship track - Deepshorts - Non Tech,Others,Bengaluru,Karnataka,India,Onsite,"HSR Layout, Bangalore Karnataka","https://www.google.com/maps/search/HSR+Layout,+Bangalore+Karnataka",https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8691/114356
8689,PS-I Entrepreneurship track - Deepshorts - Tech,Others,Bengaluru,Karnataka,India,Onsite,"HSR Layout, Bangalore Karnataka","https://www.google.com/maps/search/HSR+Layout,+Bangalore+Karnataka",https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8689/114356
8777,PS-I Entrepreneurship track - Defendron Technologies - Non Tech,Others,Pune,Maharashtra,India,Onsite,"""11 Cowork, Future 1, DP Rd, above SVC Bank, Anant Society, Aundh, Pune, Maharashtra 411007"" ""11 Cowork, Future 1, DP Rd, above SVC Bank, Anant Society, Aundh, Pune, Maharashtra 411007""","https://www.google.com/maps/search/""11+Cowork,+Future+1,+DP+Rd,+above+SVC+Bank,+Anant+Society,+Aundh,+Pune,+Maharashtra+411007""+""11+Cowork,+Future+1,+DP+Rd,+above+SVC+Bank,+Anant+Society,+Aundh,+Pune,+Maharashtra+411007""",https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8777/114356
8776,PS-I Entrepreneurship track - Defendron Technologies - Tech,Others,Pune,Maharashtra,India,Onsite,"""11 Cowork, Future 1, DP Rd, above SVC Bank, Anant Society, Aundh, Pune, Maharashtra 411007"" ""11 Cowork, Future 1, DP Rd, above SVC Bank, Anant Society, Aundh, Pune, Maharashtra 411007""","https://www.google.com/maps/search/""11+Cowork,+Future+1,+DP+Rd,+above+SVC+Bank,+Anant+Society,+Aundh,+Pune,+Maharashtra+411007""+""11+Cowork,+Future+1,+DP+Rd,+above+SVC+Bank,+Anant+Society,+Aundh,+Pune,+Maharashtra+411007""",https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8776/114356
8855,PS-I Entrepreneurship track - DesiRaho Enterprises Pvt Ltd,CSIS/IT,Pilani,Rajasthan,India,Onsite,Pilani Rajasthan,https://www.google.com/maps/search/Pilani+Rajasthan,https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8855/114356
8729,PS-I Entrepreneurship track - Dr. B. Lal Clinical Laboratory Pvt. Ltd.,CSIS/IT,Jaipur,Rajasthan,India,Onsite,Jaipur 	 Jaipur,https://www.google.com/maps/search/Jaipur+	+Jaipur,https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8729/114356
8687,PS-I Entrepreneurship track - Drivomate,Others,Jaipur,Rajasthan,India,Onsite,Jaipur Jaipur,https://www.google.com/maps/search/Jaipur+Jaipur,https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8687/114356
8685,PS-I Entrepreneurship track - Es Magico - Non Tech,Others,Mumbai,Maharashtra,India,Onsite,"Lodha Supremus, 1307, Saki Vihar Rd, Tunga Village, Chandivali, Powai, Mumbai, Maharashtra 400072  Lodha Supremus, 1307, Saki Vihar Rd, Tunga Village, Chandivali, Powai, Mumbai, Maharashtra 400072","https://www.google.com/maps/search/Lodha+Supremus,+1307,+Saki+Vihar+Rd,+Tunga+Village,+Chandivali,+Powai,+Mumbai,+Maharashtra+400072++Lodha+Supremus,+1307,+Saki+Vihar+Rd,+Tunga+Village,+Chandivali,+Powai,+Mumbai,+Maharashtra+400072",https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8685/114356
8684,PS-I Entrepreneurship track - Es Magico - Tech,Others,Mumbai,Maharashtra,India,Onsite,"Lodha Supremus, 1307, Saki Vihar Rd, Tunga Village, Chandivali, Powai, Mumbai, Maharashtra 400072  Lodha Supremus, 1307, Saki Vihar Rd, Tunga Village, Chandivali, Powai, Mumbai, Maharashtra 400072","https://www.google.com/maps/search/Lodha+Supremus,+1307,+Saki+Vihar+Rd,+Tunga+Village,+Chandivali,+Powai,+Mumbai,+Maharashtra+400072++Lodha+Supremus,+1307,+Saki+Vihar+Rd,+Tunga+Village,+Chandivali,+Powai,+Mumbai,+Maharashtra+400072",https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8684/114356
8692,PS-I Entrepreneurship track - Finspectors Technologies Pvt Ltd,Others,Bengaluru,Karnataka,India,Onsite,"19, 4th C Cross Rd, KHB Colony, Industrial Area, 5th Block, Koramangala Bengaluru, Karnataka 560095","https://www.google.com/maps/search/19,+4th+C+Cross+Rd,+KHB+Colony,+Industrial+Area,+5th+Block,+Koramangala+Bengaluru,+Karnataka+560095",https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8692/114356
8681,PS-I Entrepreneurship track - Growleads - Non  Tech,Others,Jaipur,Rajasthan,India,Onsite,"N48, Emerald Ln, Jai Jawan Colony, Milap Nagar,  Jaipur, Rajasthan 302018","https://www.google.com/maps/search/N48,+Emerald+Ln,+Jai+Jawan+Colony,+Milap+Nagar,++Jaipur,+Rajasthan+302018",https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8681/114356
8680,PS-I Entrepreneurship track - Growleads - Tech,Others,Jaipur,Rajasthan,India,Onsite,"N48, Emerald Ln, Jai Jawan Colony, Milap Nagar,  Jaipur, Rajasthan 302018","https://www.google.com/maps/search/N48,+Emerald+Ln,+Jai+Jawan+Colony,+Milap+Nagar,++Jaipur,+Rajasthan+302018",https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8680/114356
8731,PS-I Entrepreneurship track - Happywrap - Non Tech,CSIS/IT,Hyderabad,Telangana,India,Onsite,Hyderabad Hyderabad,https://www.google.com/maps/search/Hyderabad+Hyderabad,https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8731/114356
8730,PS-I Entrepreneurship track - Happywrap - Tech,CSIS/IT,Hyderabad,Telangana,India,Onsite,Hyderabad 	 Hyderabad,https://www.google.com/maps/search/Hyderabad+	+Hyderabad,https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8730/114356
8690,PS-I Entrepreneurship track - Hobnob Realtech,Others,Jaipur,Rajasthan,India,Onsite,"24/66, Swarnpath, Mansarrovar,  Jaipur-302020","https://www.google.com/maps/search/24/66,+Swarnpath,+Mansarrovar,++Jaipur-302020",https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8690/114356
8720,PS-I Entrepreneurship track - Iofold labs,CSIS/IT,Bengaluru,Karnataka,India,Onsite,Bangalore -,https://www.google.com/maps/search/Bangalore+-,https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8720/114356
8694,PS-I Entrepreneurship track - Kalpi,Others,Bengaluru,Karnataka,India,Onsite,Bangalore/Hyderabad -,https://www.google.com/maps/search/Bangalore/Hyderabad+-,https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8694/114356
8734,PS-I Entrepreneurship track - Kinetic Age - Non Tech,CSIS/IT,Bengaluru,Karnataka,India,Onsite,Bengaluru 	 Bengaluru,https://www.google.com/maps/search/Bengaluru+	+Bengaluru,https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8734/114356
8732,PS-I Entrepreneurship track - Kinetic Age - Tech,CSIS/IT,Bengaluru,Karnataka,India,Onsite,Bengaluru Bengaluru,https://www.google.com/maps/search/Bengaluru+Bengaluru,https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8732/114356
8739,PS-I Entrepreneurship track - KriSHE Carbon - Non Tech,CSIS/IT,Gurgaon,Haryana,India,Onsite,Gurugram Haryana,https://www.google.com/maps/search/Gurugram+Haryana,https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8739/114356
8738,PS-I Entrepreneurship track - KriSHE Carbon - Tech,CSIS/IT,Gurgaon,Haryana,India,Onsite,Gurugram Haryana,https://www.google.com/maps/search/Gurugram+Haryana,https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8738/114356
8740,PS-I Entrepreneurship track - Lepton Maps,CSIS/IT,Gurgaon,Haryana,India,Onsite,Gurugram Haryana,https://www.google.com/maps/search/Gurugram+Haryana,https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8740/114356
8711,PS-I Entrepreneurship track - Lingopanda - Non Tech,Others,Bengaluru,Karnataka,India,Onsite,Bengaluru Bengaluru,https://www.google.com/maps/search/Bengaluru+Bengaluru,https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8711/114356
8710,PS-I Entrepreneurship track - Lingopanda - Tech,Others,Bengaluru,Karnataka,India,Onsite,Bengaluru Bengaluru,https://www.google.com/maps/search/Bengaluru+Bengaluru,https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8710/114356
8693,PS-I Entrepreneurship track - ManageWorkspace,Others,Jaipur,Rajasthan,India,Onsite,Jaipur -,https://www.google.com/maps/search/Jaipur+-,https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8693/114356
8775,PS-I Entrepreneurship track - Mati Amrit Clay Industries Pvt. Ltd. - Non Tech,Others,Jaipur,Rajasthan,India,Onsite,"Jaipur, Rajasthan, India Jaipur, Rajasthan, India","https://www.google.com/maps/search/Jaipur,+Rajasthan,+India+Jaipur,+Rajasthan,+India",https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8775/114356
